"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FXRateToBase","AssetClass","SubCategory","Symbol","Description","Conid","SecurityID","SecurityIDType","CUSIP","ISIN","FIGI","ListingExchange","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","TradeID","Multiplier","RelatedTradeID","Strike","ReportDate","Expiry","DateTime","Put/Call","TradeDate","PrincipalAdjustFactor","SettleDateTarget","TransactionType","Exchange","Quantity","TradePrice","TradeMoney","Proceeds","Taxes","IBCommission","IBCommissionCurrency","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","CostBasis","FifoPnlRealized","MtmPnl","OrigTradePrice","OrigTradeDate","OrigTradeID","OrigOrderID","OrigTransactionID","Buy/Sell","ClearingFirmID","IBOrderID","TransactionID","IBExecID","RelatedTransactionID","RTN","BrokerageOrderID","OrderReference","VolatilityOrderLink","ExchOrderID","ExtExecID","OrderTime","OpenDateTime","HoldingPeriodDateTime","WhenRealized","WhenReopened","LevelOfDetail","ChangeInPrice","ChangeInQuantity","OrderType","TraderID","IsAPIOrder","AccruedInterest","InitialInvestment","PositionActionID","SerialNumber","DeliveryType","CommodityType","Fineness","Weight"
"U16073750","","","USD","1","OPT","P","BE    260508P00080000","BE 08MAY26 80 P","869008880","","","","","BBG0219S7C19","CBOE","326398514","BE","US0937121079","NYSE","","","9247934358","100","","80","20260331","20260508","20260331;103512","P","20260331","","20260401","ExchTrade","CBOE","1","2.91","291","-291","0","-1.05045","USD","-292.05045","1.9686","O","","292.05045","0","-94.14","0","","","0","0","BUY","","5033254842","38952030689","0000f84c.69cbca13.02.01","","3134566824224B","","","","N/A","3134566824224B","20260331;103512","","","","","EXECUTION","0","0","LMT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260508P00080000","BE 08MAY26 80 P","869008880","","","","","BBG0219S7C19","CBOE","326398514","BE","US0937121079","NYSE","","","9359131541","100","","80","20260421","20260508","20260421;130507","P","20260421","","20260422","ExchTrade","CBOE2","-1","0.16","-16","16","0","-0.7015696","USD","15.2984304","0.256","C","","-292.05045","-276.75202","-9.6","0","","","0","0","SELL","","5100450111","39390265775","00014247.69e77910.02.01","","313456685394S","","","","N/A","313456685394S","20260421;130507","","","","","EXECUTION","0","0","MKT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260508P00100000","BE 08MAY26 100 P","869007671","","","","","BBG0219S7N24","CBOE","326398514","BE","US0937121079","NYSE","","","9247927058","100","","100","20260331","20260508","20260331;103512","P","20260331","","20260401","ExchTrade","CBOE","-1","7.44","-744","744","0","-1.05374","USD","742.94626","6.1394","O","","-742.94626","0","130.06","0","","","0","0","SELL","","5033249994","38952057791","0000f84c.69cbca13.03.01","","3134566824223S","","","","N/A","3134566824223S","20260331;103512","","","","","EXECUTION","0","0","LMT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260508P00100000","BE 08MAY26 100 P","869007671","","","","","BBG0219S7N24","CBOE","326398514","BE","US0937121079","NYSE","","","9359138047","100","","100","20260421","20260508","20260421;130507","P","20260421","","20260422","ExchTrade","CBOE2","1","0.34","34","-34","0","-0.69795","USD","-34.69795","0.2772","C","","742.94626","708.24831","-6.28","0","","","0","0","BUY","","5100454647","39390235338","00014247.69e77910.03.01","","313456685393B","","","","N/A","313456685393B","20260421;130507","","","","","EXECUTION","0","0","MKT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260605P00180000","BE 05JUN26 180 P","876508386","","","","","BBG021VQ1WJ1","CBOE","326398514","BE","US0937121079","NYSE","","","9444023612","100","","180","20260506","20260605","20260506;094358","P","20260506","","20260507","ExchTrade","CBOE","1","2.74","274","-274","0","-1.05075","USD","-275.05075","2.8086","O","","275.05075","0","6.86","0","","","0","0","BUY","","5152270625","39719219663","0000f84c.69fb3d71.03.01","","3134566824844B","","","","N/A","3134566824844B","20260506;094358","","","","","EXECUTION","0","0","LMT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260605P00180000","BE 05JUN26 180 P","876508386","","","","","BBG021VQ1WJ1","CBOE","326398514","BE","US0937121079","NYSE","","","9655724466","100","","180","20260605","20260605","20260605;162000","P","20260605","","20260608","BookTrade","--","-1","0","0","0","0","0","USD","0","0","C","Ep","-275.05075","-275.05075","0","0","","","0","0","SELL","","40499715610","40499715610","","","","","","","N/A","N/A","","","","","","EXECUTION","0","0","","","N","0","","112566957","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260605P00210000","BE 05JUN26 210 P","876508945","","","","","BBG021VQ3LV9","CBOE","326398514","BE","US0937121079","NYSE","","","9444390142","100","","210","20260506","20260605","20260506;094358","P","20260506","","20260507","ExchTrade","CBOE","-1","6.23","-623","623","0","-1.0668738","USD","621.9331262","6.2804","O","","-621.9331262","0","-5.04","0","","","0","0","SELL","","5152498814","39720207338","0000f84c.69fb3d71.02.01","","3134566824843S","","","","N/A","3134566824843S","20260506;094358","","","","","EXECUTION","0","0","LMT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260605P00210000","BE 05JUN26 210 P","876508945","","","","","BBG021VQ3LV9","CBOE","326398514","BE","US0937121079","NYSE","","","9655799647","100","","210","20260605","20260605","20260605;162000","P","20260605","","20260608","BookTrade","--","1","0","0","0","0","0","USD","0","0","C","Ep","621.933126","621.933126","0","0","","","0","0","BUY","","40500177135","40500177135","","","","","","","N/A","N/A","","","","","","EXECUTION","0","0","","","N","0","","112615904","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","C","BE    260717C00450000","BE 17JUL26 450 C","883715907","","","","","BBG022D5JR61","CBOE","326398514","BE","US0937121079","NYSE","","","9649919990","100","","450","20260605","20260717","20260605;120940","C","20260605","","20260608","ExchTrade","CBOE2","-1","5.2","-520","520","0","-0.712252","USD","519.287748","4.1203","O","","-519.287748","0","107.97","0","","","0","0","SELL","","5277592070","40482122309","00014247.6a22ccaa.03.01","","313456686933S","","","","N/A","313456686933S","20260605;120940","","","","","EXECUTION","0","0","LMT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","C","BE    260717C00480000","BE 17JUL26 480 C","886450628","","","","","BBG022KHL7P7","CBOE","326398514","BE","US0937121079","NYSE","","","9649939462","100","","480","20260605","20260717","20260605;120940","C","20260605","","20260608","ExchTrade","CBOE2","1","3.63","363","-363","0","-0.69825","USD","-363.69825","3.125","O","","363.69825","0","-50.5","0","","","0","0","BUY","","5277604450","40482173774","00014247.6a22ccaa.02.01","","313456686935B","","","","N/A","313456686935B","20260605;120940","","","","","EXECUTION","0","0","LMT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260717P00180000","BE 17JUL26 180 P","823901538","","","","","BBG01Y0DNKM1","CBOE","326398514","BE","US0937121079","NYSE","","","9649939184","100","","180","20260605","20260717","20260605;120940","P","20260605","","20260608","ExchTrade","CBOE2","1","7.72","772","-772","0","-0.69825","USD","-772.69825","7.8097","O","","772.69825","0","8.97","0","","","0","0","BUY","","5277604276","40482163858","00014247.6a22ccaa.05.01","","313456686936B","","","","N/A","313456686936B","20260605;120940","","","","","EXECUTION","0","0","LMT","","N","0","","","","","","0.0","0.0"
"U16073750","","","USD","1","OPT","P","BE    260717P00200000","BE 17JUL26 200 P","827351638","","","","","BBG01Y7J3C05","CBOE","326398514","BE","US0937121079","NYSE","","","9649939322","100","","200","20260605","20260717","20260605;120940","P","20260605","","20260608","ExchTrade","CBOE2","-1","11.88","-1188","1188","0","-0.7260128","USD","1187.2739872","12.6497","O","","-1187.2739872","0","-76.97","0","","","0","0","SELL","","5277604376","40482163880","00014247.6a22ccaa.04.01","","313456686934S","","","","N/A","313456686934S","20260605;120940","","","","","EXECUTION","0","0","LMT","","N","0","","","","","","0.0","0.0"
